Unnamed: 0,Entity,Code,Year,Electricity from wind - TWh,Electricity from hydro - TWh,Electricity from solar - TWh,Other renewables including bioenergy - TWh,Total renewable energy (TWh)
585,Australia,AUS,1990,0.0,14.7595,0.0,0.7595,31.037999999999997
586,Australia,AUS,1991,0.0,15.6535,0.00545,0.7195,32.7569
587,Australia,AUS,1992,0.0,15.9415,0.0121,0.67,33.2472
588,Australia,AUS,1993,0.002,16.387,0.0146,0.67,34.147200000000005
589,Australia,AUS,1994,0.0055,16.15,0.0174,0.6965,33.7388
590,Australia,AUS,1995,0.007,15.631,0.02115,0.8255,32.969300000000004
591,Australia,AUS,1996,0.007,15.9685,0.0256,0.9465,33.8952
592,Australia,AUS,1997,0.0075,15.9525,0.03065,0.997,33.975300000000004
593,Australia,AUS,1998,0.018,15.798,0.0356,1.081,33.8652
594,Australia,AUS,1999,0.043,16.2815,0.0406,1.1335,34.99720000000001
595,Australia,AUS,2000,0.13,16.47,0.05,0.8895,35.07899999999999
596,Australia,AUS,2001,0.29,16.12,0.05,0.7975,34.515
597,Australia,AUS,2002,0.53,16.09,0.06,1.2668,35.8936
598,Australia,AUS,2003,0.7,16.21,0.06,1.6918,37.3236
599,Australia,AUS,2004,0.8,15.69,0.07,2.81525,38.7505
600,Australia,AUS,2005,1.3,15.47,0.08,3.871,41.442
601,Australia,AUS,2006,2.16,14.95,0.1,3.9325,42.285
602,Australia,AUS,2007,2.85,13.05,0.11,4.275,40.57000000000001
603,Australia,AUS,2008,3.46,11.82,0.14,3.6961,38.232200000000006
604,Australia,AUS,2009,4.44,12.64,0.29,2.7868,40.3136
605,Australia,AUS,2010,4.99,13.75,0.98,2.44155,44.3231
606,Australia,AUS,2011,6.43,19.57,2.04,2.57395,61.2279
607,Australia,AUS,2012,7.72,17.04,2.41,3.09785,60.5357
608,Australia,AUS,2013,9.26,19.09,3.85,3.33165,71.0633
609,Australia,AUS,2014,9.78,14.48,4.95,3.546362,65.512724
610,Australia,AUS,2015,11.83,14.09,6.2,3.678062,71.596124
611,Australia,AUS,2016,13.04,17.63,7.44,3.627513,83.475026
612,Australia,AUS,2017,13.21,13.5,8.92,3.561684,78.383368
613,Australia,AUS,2018,16.26,17.31,12.33,3.588149,98.976298
614,Australia,AUS,2019,19.47,14.02,18.3,3.4677262,110.51545239999999
615,Australia,AUS,2020,22.61,14.42,23.84,3.4104242,128.5608484
1130,Brazil,BRA,1990,0.0,206.708,0.0,3.8590624,421.1341248
1131,Brazil,BRA,1991,0.0,217.782,0.0,3.9996126,443.5632252
1132,Brazil,BRA,1992,0.0,223.343,0.0,4.929361,456.544722
1133,Brazil,BRA,1993,0.0,235.065,0.0,4.9839373,480.0978746
1134,Brazil,BRA,1994,0.0,242.7051,0.0,5.3882236,496.1866472
1135,Brazil,BRA,1995,0.0,253.9051,0.0,5.5937405,518.9976810000001
1136,Brazil,BRA,1996,0.002,265.7358,0.0,6.75271,544.98102
1137,Brazil,BRA,1997,0.004,278.9725,0.0,7.378951,572.710902
1138,Brazil,BRA,1998,0.005,291.46918,0.0,7.505233,597.958826
1139,Brazil,BRA,1999,0.002,293.00003,0.0,8.376002,602.756064
1140,Brazil,BRA,2000,0.0,304.4,0.0,7.855363,624.510726
1141,Brazil,BRA,2001,0.03,267.88,0.0,9.022407,553.864814
1142,Brazil,BRA,2002,0.06,286.09,0.0,10.270147,592.840294
1143,Brazil,BRA,2003,0.06,305.62,0.0,11.939463,635.238926
1144,Brazil,BRA,2004,0.06,320.8,0.0,12.515056,666.7501120000001
1145,Brazil,BRA,2005,0.09,337.46,0.0,13.643077,702.386154
