,year,region,christianity_all,judaism_all,islam_all,buddhism_all,hinduism_all,noreligion_all,religion_all,population,world_population,christianity_percent,judaism_percent,islam_percent,buddhism_percent,hinduism_percent,noreligion_percent,Unnamed: 17,worldpopulation_percent,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75
0,1945,Africa,14588060,80487,5051475,53,137290,7396,29065604,29073000,1617000000,0.5018,0.0028,0.1738,0.0,0.0047,0.0003,,0.018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1945,Asia,9919091,30369,36260345,113681431,5230216,30637661,666325296,663450000,1617000000,0.015,0.0,0.0547,0.1713,0.0079,0.0462,,0.4103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1945,Mideast,4011695,623240,60095064,0,0,561,65218439,65219000,1617000000,0.0615,0.0096,0.9214,0.0,0.0,0.0,,0.0403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1945,Europe,420908000,6068020,29353397,725632,21691,99829250,460920750,560750000,1617000000,0.7506,0.0108,0.0523,0.0013,0.0,0.178,,0.3468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1945,America,251923444,5207284,0,1830820,0,23011662,271343058,289375655,1617000000,0.8706,0.018,0.0,0.0063,0.0,0.0795,,0.179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1950,Africa,16793713,97006,5508523,194,195524,19918,33687082,33707000,2231000000,0.4982,0.0029,0.1634,0.0,0.0058,0.0006,,0.0151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1950,Asia,45163397,54754,189121761,158063522,301106975,69193934,1273089521,1300208016,2231000000,0.0347,0.0,0.1455,0.1216,0.2316,0.0532,,0.5828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1950,Mideast,5113854,1630211,69360805,0,0,0,77683000,77683000,2231000000,0.0658,0.021,0.8929,0.0,0.0,0.0,,0.0348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1950,Europe,347718164,5336066,30109208,759624,44995,100773236,385746764,486520000,2231000000,0.7147,0.011,0.0619,0.0016,0.0001,0.2071,,0.2181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1950,America,281690994,6580257,20770,188562,2006,22938228,304925532,322455008,2231000000,0.8736,0.0204,0.0001,0.0006,0.0,0.0711,,0.1445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
